areaName,zipCode
Alley Park,11364
Astoria,11101
Astoria,11102
Astoria,11103
Astoria,11104
Astoria,11105
Astoria,11106
Auburndale,11358
Bath Beach,11214
Battery Park City,10280
Bay Ridge,11209
Bay Ridge,11220
Baychester,10469
Bayside,11360
Bayside,11361
Bayside,11364
Bedford Park,10458
Bedford-Stuyvesant,11205
Bedford-Stuyvesant,11206
Bedford-Stuyvesant,11216
Bedford-Stuyvesant,11221
Bedford-Stuyvesant,11233
Bedford-Stuyvesant,11238
Bellerose,11001
Belmont,14813
Bensonhurst,11204
Bergen Beach,11234
Boerum Hill,11217
Borough Park,11204
Borough Park,11218
Borough Park,11219
Borough Park,11230
Bowne Park,11354
Briarwood,11435
Brighton Beach,11235
Brooklyn Heights,11201
Brownsville,11212
Brownsville,11233
Bushwick,11237
Cambria Heights,11411
Canarsie,11236
Carroll Gardens,11231
Castle Hill,10472
Castle Hill,10473
Castle Hill,10462
Central Harlem,10026
Central Harlem,10027
Central Harlem,10030
Central Harlem,10037
Central Harlem,10039
Central Queens,11365
Central Queens,11366
Central Queens,11367
Chelsea,10011
Chelsea,10019
Chinatown,10003
Chinatown,10002
Chinatown,10013
City Island,10464
Civic Center,10007
Clearview,11357
Clinton Hill,11205
Co-op City,10475
Cobble Hill,11201
College Point,11356
Columbia St Waterfront District,11231
Columbia St Waterfront District,11201
Concourse,10456
Concourse,10451
Coney Island,11224
Corona,11368
Country Club,10465
Crotona Park East,10459
Crown Heights,11225
Crown Heights,11213
DUMBO,11201
Ditmas Park,11218
Douglaston,11362
Downtown Brooklyn,11201
Dyker Heights,11228
East Brooklyn,11207
East Brooklyn,11208
East Elmhurst,11369
East Flatbush,11203
East Flatbush,11212
East Harlem,10035
East New York,11207
East Tremont,10457
East Village,10009
Eastchester,10583
Edenwald,10466
Elmhurst,11373
Financial District,10004
Financial District,10038
Financial District,10005
Financial District,10006
Flatbush,11210
Flatbush,11226
Flatiron,10010
Flatlands,11234
Floral Park,11001
Floral Park,11002
Flushing,11355
Fordham,10453
Fordham,10457
Fordham,10458
Fordham,10468
Forest Hills,11375
Fort Greene,11205
Fresh Meadows,11366
Gerritsen Beach,11229
Glen Oaks,11004
Glendale,11385
Gowanus,11217
Gramercy Park,10016
Gramercy Park,10010
Gramercy Park,10003
Gramercy Park,10009
Gravesend,11223
Greenpoint,11222
Greenwich Village,10012
Greenwich Village,10013
Greenwich Village,10014
Greenwood,11232
Hamilton Heights,10031
Highbridge,10452
Hillcrest,10977
Hollis,11423
Howard Beach,11414
Hunts Point,10474
Inwood,11096
Jackson Heights,11372
Jamaica Estates,11432
Jamaica Hills,11432
Kensington,11218
Kensington,11223
Kensington,11229
Kew Gardens,11415
Kew Gardens Hills,11367
Kingsbridge,10463
Laconia,13083
Laurelton,11413
Little Italy,10013
Little Neck,11362
Long Island City,11101
Longwood,11953
Lower East Side,10002
Lower East Side,10003
Lower East Side,10009
Manhattan Beach,11235
Manhattanville,10027
Marble Hill,10463
Marine Park,11234
Maspeth,11378
Melrose,12121
Middle Village,11379
Midtown,10001
Midtown East,10017
Midtown South,10001
Midtown West,10036
Midwood,11230
Mill Basin,11234
Morningside Heights,10027
Morris Heights,10453
Morris Park,10462
Morrisania,10456
Morrisania,10459
Mott Haven,10455
New Hyde Park,11040
New Hyde Park,11042
Nolita,10012
North Brooklyn,11201
North Brooklyn,11205
North Corona,11368
Norwood,13668
Oakland Gardens,11364
Ocean Parkway,11230
Old Mill Basin,11234
Ozone Park,11416
Ozone Park,11417
Park Slope,11215
Park Slope,11217
Parkchester,10462
Parkchester,10460
Parkchester,10461
Pelham Bay,10461
Pelham Gardens,10469
Pelham Parkway,10461
Pelham Parkway,10462
Pomonok,11365
Port Morris,10454
Prospect Heights,11238
Prospect Lefferts Gardens,11225
Prospect Park,11215
Prospect Park South,11226
Queens Village,11427
Queensboro Hill,11355
Red Hook,11231
Rego Park,11374
Richmond Hill,11418
Ridgewood,11385
Riverdale,10463
Riverdale,10463
Rockaway All,11691
Roosevelt Island,10044
Rosedale,11422
Schuylerville,12871
Seagate,11224
Sheepshead Bay,11235
Soho,10012
Soho,10014
Soho,10013
Soundview,10472
Soundview,10473
South Brooklyn,11231
South Jamaica,11434
South Ozone Park,11420
South Queens,11420
South Richmond Hill,11419
Springfield Gardens,11434
St. Albans,11412
Staten Island,10301
Stuyvesant Town/PCV,10009
Sunnyside,11104
Sunset Park,11220
Sunset Park,11232
The Rockaways,11691
The Rockaways,11692
The Rockaways,11693
The Rockaways,11694
The Rockaways,11697
Throgs Neck,10465
Tremont,10457
Tribeca,10013
University Heights,10453
Upper East Side,10021
Upper East Side,10028
Upper East Side,10044
Upper East Side,10065
Upper East Side,10075
Upper East Side,10128
Upper West Side,10023
Upper West Side,10024
Upper West Side,10025
Utopia,11366
Van Nest,10460
Van Nest,10462
Wakefield,10466
Wakefield,10470
Washington Heights,10040
Washington Heights,10033
Washington Heights,10032
West Harlem,10031
West Harlem,10032
West Harlem,10039
West Harlem,10027
West Village,10014
Whitestone,11357
Williamsbridge,10469
Williamsburg,11206
Williamsburg,11211
Williamsburg,11249
Windsor Terrace,11215
Woodhaven,11421
Woodlawn,10470
Woodside,11377
Woodstock,12498
